ID,Human-understandable Difficulty Label,Linguistic Phenomena Tagging,,,,,,,,,,,
,,COREF,Conversational pivots,Quantity/Time reasoning,ANTO,Emotional commonality,Conditional,Nnegation,Quantifier,Belief verbs,Modal,Ending Only,Sentence length
e8f628d5-9f97-40ed-8611-fc0e774673c4,Paraphrasing,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
e17053ac-2046-48c8-a7a2-7b9509c10e64,word,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
736f326b-48ea-439b-821b-6365e38773e9,word,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
caa0244b-9388-409e-b50a-5e305336e540,sentence,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
1edf348d-6fce-4ea3-937c-28ade02f28b8,Paraphrasing,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
0fe46de6-6ee3-4932-a578-268917372566,sentence,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
501c6884-8885-4df3-ae8c-f3f9328fde54,Paraphrasing,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8d9f72c4-7f31-4e86-8511-e921fd8f78bb,Paraphrasing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
411b9523-5254-41ff-b740-e039d0423201,sentence,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
b8c30925-f572-4ac3-b865-1cba592b6f0c,Paraphrasing,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57d5152a-77db-4156-8330-166edb36b0a2,Paraphrasing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
